,0,1,2,3,4,5,6
0,,Factor(g/L),,,,,
1,Run,X Sucrose,X Yeast extract,X Corn steep liquor,X4 KHPO4,XMgSO4,Biomass (g/L)
2,1,55,20,15,6,0.55,7.80  0.25
3,2,65,30,20,4,0.55,8.44  0.12
4,3,55,10,20,6,0.55,7.58  0.41
5,4,45,20,25,4,0.55,7.24  0.28
6,5,55,20,25,4,0.1,7.90  0.36
7,6,45,20,20,2,0.55,7.10 0.32
8,7,55,10,25,4,0.55,7.60  0.25
9,8,55,30,20,4,1,7.70  0.55
10,9,55,20,20,4,0.55,7.46  0.54
11,10,55,20,20,4,0.55,7.46  0.43
12,11,55,10,20,4,0.1,7.40  0.31
13,12,55,30,25,4,0.55,7.99  0.44
14,13,65,20,15,4,0.55,8.14  0.45
15,14,55,20,15,4,0.1,7.72  0.56
16,15,55,20,20,2,1,7.68  0.35
17,16,45,30,20,4,0.55,7.26  0.42
18,17,55,30,20,6,0.55,7.86  0.37
19,18,55,10,15,4,0.55,7.56  0.43
20,19,55,20,20,4,0.55,7.46  0.33
21,20,55,20,15,2,0.55,7.80  0.32
22,21,65,20,20,4,0.1,8.320.22
23,22,65,20,20,2,0.55,8.30  0.24
24,23,45,20,20,6,0.55,7.26  0.13
25,24,55,20,25,2,0.55,7.80  0.54
26,25,65,20,20,6,0.55,8.20  0.35
27,26,55,20,20,2,0.1,7.70  0.32
28,27,55,30,20,4,0.1,8.01  0.43
29,28,65,20,25,4,0.55,8.48  0.42
30,29,45,10,20,4,0.55,7.10  0.21
31,30,55,10,20,4,1,7.66  0.23
32,31,55,20,20,6,0.1,7.780.57
33,32,55,20,20,4,0.55,7.44  0.43
34,33,55,30,20,2,0.55,7.90  0.46
35,34,55,20,20,4,0.55,7.54  0.31
36,35,55,20,15,4,1,7.68  0.16
37,36,55,10,20,2,0.55,7.46  0.37
38,37,45,20,15,4,0.55,7.380.30
39,38,55,20,20,6,1,7.74  0.33
40,39,45,20,20,4,1,7.34  0.25
41,40,55,30,15,4,0.55,7.86  0.52
42,41,55,20,20,4,0.55,7.42  0.34
43,42,65,10,20,4,0.55,8.000.30
44,43,65,20,20,4,1,8.120.12
45,44,55,20,25,4,1,7.86  0.27
46,45,45,20,20,4,0.1,7.20  0.39
47,46,55,20,25,6,0.55,7.83  0.51
