,0
0,Description of the culture component
1,YL-B=S. thermophilus+ L.delbrueckii ssp.
2,bulgaricus+L.acidophilus-before fermentation
3,YB-B=S.thermophilus+L.delbrueckii ssp.
4,bulgaricus+B.animalis subsp.lactis BB-12-before
5,fermentation
6,YLB-B=S. thermophilus+ L.delbrueckii ssp
7,bulgaricus+L.acidophilus + B.animalis subsp. lactis BB
8,12-before fermentation
9,YLp-B=S.thermophilus +L.delbrueckii ssp
10,bulgaricus+ killed cells of L. acidophilus-before fermentation
11,YBp-B=S.thermophilus+L.delbrueckii ssp
12,bulgaricus+ killed cells of B.animalis subsp.lactis BB-
13,12-before fermentation
14,Y(LB)p-B=S.thermophilus+L.delbrueckii ssp
15,bulgaricus+ killed cells of B.animalis subsp.lactis BB-12and
16,L. acidophilus (paraprobiotic)-before fermentation
17,YL-A=S.thermophilus+ L.delbrueckii ssp
18,bulgaricus+L. acidophilus-after fermentation
19,YB-A=S.thermophilus+L.delbrueckii ssp
20,bulgaricus +B. animalis subsp.lactis BB-12-after fermentation
21,YLB-A=S. thermophilus+ L. delbrueckii ssp.
22,bulgaricus+L.acidophilus+B.animalis subsp.lactis BB-12
23,after fermentation
24,YLp-A=S.thermophilus+L.delbrueckii ssp
25,bulgaricus + killed cells of L.acidophilus-after fermentation
26,YBp-A=S. thermophilus + L.delbrueckii ssp
27,bulgaricus+ killed cells of B.animalis subsp.lactis BB-12-
28,after fermentation
29,YLB)p-A=S.thermophilus+ L.delbrueckii ssp
30,bulgaricus+ killed cells of B.animalis subsp.lactis BB-12and
31,L. acidophilus(paraprobiotic- after fermentation
