,0,1,2,3,4,5
0,,Milk sam-,FlavourIspe-,LFIA,HPLC-quantified,HPLC-quantified
1,No.,ple,cialty,test,,AFMl(ug/L)a
2,-,Pasteurised,Strawberry,Neg,0.03,
3,2,milk,Strawberry,Neg,-,
4,3,,Strawberry,Neg,,
5,4,,Coffee,Inv,0.02,
6,5,,Natural,Neg,0.04,
7,6,,Natural,Neg,Undetectable,Undetectable
8,7,,Natural,Neg,0.04,
9,8,,Natural,Neg,0.08,
10,9,,Natural/lactose-,Neg,0.06,
11,,,free,,,
12,10,,Natural,Neg,,
13,11,,Natural,Neg,,
14,12,,Natural/fat-free,Neg,,
15,13,,Natural/lactose-,Neg,,
16,,,free,,,
17,14,,Natural,Neg,,
18,15,,Natural/fat-free,Neg,,
19,16,,Natural,Neg,,
20,17,UHT,Natural,Neg,0.07,
21,18,,Sweeten,Neg,0.06,
22,19,,Strawberry,Neg,Undetectable,Undetectable
23,20,,Chocolate,Inv,Undetectable,Undetectable
24,21,,Natural,Neg,0.04,
25,22,,Natural,Neg,0.02,
26,23,,Natural,Neg,,
27,24,,Sweeten,Neg,,
28,25,,Natural,Neg,,
29,26,,Natural/reduced,Neg,,
30,,,fat,,,
31,27,,Sweeten,Neg,,
32,28,,Natural,Neg,,
33,29,,Natural,Neg,,
34,30,,Natural/,Neg,,
35,,,prebiotic,,,
36,,,added,,,
37,31,,Honey,Neg,,
38,32,,Natural,Neg,,
39,33,,Natural,Neg,,
40,34,Drinking,Grape,Inv,Undetectable,Undetectable
41,35,yoghurt,Mixed fruits,Neg,Undetectable,Undetectable
42,36,Sterilised,Natural,Neg,,
43,37,Powdered,Vanilla,Neg,Undetectable,Undetectable
44,38,,Natural,Neg,Undetectable,Undetectable
45,39,,Natural,Neg,,
46,40,,Natural,Neg,,
47,41,Goat milk,Natural,Neg,Undetectable,Undetectable
