,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,/%,pLZ'0F 0Ev,qL0'0 F vI'L,q8I'0 T Lt'9,S909,qI6'0 F I'St,,,,,,,
1,,AF,,pZ8'EF 90'6,e9Z'7 FIS'8,,89998,,,,,,e8EZ Ft0'Z,
2,,*q,,qZ9'0 F I9'0,qL0890,,,,,,,,,
3,,,,,00690,,,,,,,,T,
4,Cototr,*I,,,,,,,,,,,18S1L,
5,,uu'p,,qLZ'ZF 96,,qZ'OE F 9EI,,,qV8'S F 49I,,,,,
6,,,,,I0F,099,,,,,I0069,010,800,
7,,,,,69,099,,,,,I0069,18,,
8,,,Z00TI89,q000,q800,10089,,8009,,900699,00099,10011,q00,qI00T4S'9
9,,,Z00TI89,,99'9,10089,,8009,,900699,00099,10011,,qI00T4S'9
10,,,,ILH,IILH,,ILH,ILH,,ILH,ILH,,ILH,ILH
11,,,00:0,001:0,001:0,2820,2020,2020,5030,5030,23030,,,
