,0,1,2,3,4,5,6,7,8,9,10,11
0,Depot/,Total,dis-,% of total,Vehicles,Total,dis-,% of total,Vehicles,Total distance,% of total,Vehicles
1,Month,tance 6:1,,milk,required,tance 3:1,,milk,required,1.2:1,milk,required
2,Depot A,,,,,,,,,,,
3,Jan,301,,2.1%,2,345,,3.8%,3,387,8.3%,5
4,Feb,310,,3.5%,2,364,,4.8%,4,382,7.7%,5
5,Mar,386,,8.3%,5,383,,7.9%,5,396,8.7%,5
6,Apr,467,,10.9%,7,419,,10.5%,6,391,8.8%,5
7,May,492,,13.1%,8,440,,11.3%,6,406,9.3%,5
8,Jun,477,,11.2%,7,437,,11.1%,6,391,8.7%,5
9,Totals,2432,,,,2389,,,,2353,,
10,Depot D,,,,,,,,,,,
11,Jan,643,,2.1%,2,843,,3.8%,3,1244,8.3%,5
12,Feb,647,,3.5%,2,1029,,4.8%,4,1051,7.7%,4
13,Mar,1238,,8.3%,5,1048,,7.9%,4,1247,8.7%,5
14,Apr,1654,,10.9%,7,1441,,10.5%,6,1253,8.8%,5
15,May,1865,,13.1%,8,1467,,11.3%,6,1266,9.3%,5
16,Jun,1672,,11.2%,7,1468,,11.1%,6,1246,8.7%,5
17,Totals,7719,,,,7297,,,,7307,,
