,0,1,2,3,4,5,6,7,8,9
0,,,,,,Melting curve,,,,
1,,,Control,,,4.1% OABA,,,6.8% EABA,
2,Temperature,Pi,P2,P3,Pi,P2,P3,Pi,P2,P3
3,Onset(C*,9.30,14.06,24.85,6.86,11.98,24.03,7.63,11.23,24.72
4,Peak (C)*,11.05,17.68,34.37,8.89,16.36,33.88,9.64,16.77,34.46
5,Endset (C)*,13.02,20.23,37.12,10.51,19.68,3681,11.33,20.27,36.94
6,,,,,,Crystallisation curve,,,,
7,,,Control,,,4.1% OABA,,,6.8% EABA,
8,Temperature,P4,Ps,Po,P4,Ps,Po,P4,Ps,Po
9,Onset (C*,19.55,15.13,-9.78,18.65,14.49,-10.93,18.95,14.85,-10.1
10,Peak(C*,18.13,11.82,-11.47,17.63,11.14,12.28,17.88,11.06,-11.9
11,Endset (C)*,16.97,4.84,16.12,16.47,2.43,16.97,16.79,2.59,-16.7
