,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Hd,pVt'0 F EZ'S,,,qZ4'0 T 99'S,,,,,,,,,,,,
1,,eL9'0 F vZ'Z,,q9S'0F4Z'E,,,,q&9'0 F 6t'Z,,,,q9S'0FtI'E,q9S'0FtI'E,vZ9'0FE9'Z,,,
2,,,,,,,,,,,,S8'0F6EI,"q6L'0 F Z9""I",q08`09SI,,00660,q6L'0F6SI
3,,,,eS8'Z F 9SZ,,,,,p908,9980,,po7F29'Z,68098,0800,,,
4,,,,eZ9'0 F ZI'0,,090,,,,S0,,90,q6S'0F,q&9'0 F,90800,,S90110
5,,,,eZ9'0 F ZI'0,,600,050,990,,,100,,125,,90800,,S90110
6,,,,,,,,,qtZ'OF 0S LI,p6I`0 F 0S'9Z,,,qSZ'0F 0S'9I,,,,
7,,qeVZ'O F L8'9I,qe9Z'0 F S9'tI,q7Z'0 T L9LI,,qVZ'OFO6 LI,,,,,,,,,,,
8,,,,,,,,,,qLI'0FvE'9E,qLI'0FvE'9E,qSI'O F IE'Zt,qSI'O F IE'Zt,sq9I'0FvZ'6E,,,
9,,,101109,,,,q8I'0 F 8L'Z9,,qEI'0 F Z9'Z9,qEI'0F 99'C9,qEI'0F 99'C9,qe&I'0 F 69'LS,,zqEI`0F 88`O9,,,
10,,II,,,,,,,,,,,5,S,,,
