,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,teeeeeedd,,,,,,,,,Abbbbt,,,,,
1,,,qrSS'0 F,,oqSt'0 F 98'8,,19019,000+00,,qvZ'0F08'8,qSZ'0F SI'6,q0E'0 F 9L'8,qIL'0 F vS'8,pSI'OF LO'6,010,,600,
2,,,qeSS'0 F E6 L,,sqSv'0 F 98'8,,19019,,,qSZ'0 F SI'6,qSZ'0 F SI'6,q0E'0 F 9L'8,qIL'O F tS'8,pSI'OFLO'6,,,,
3,,qIZ`0 F E0'6,,,qIZ'0F E0'6,oq00'0FZE'6,qLZ'0 F S8`8,p000+001,,zq0Z'0 F ZE'6,zq0Z'0 F ZE'6,qSt'0 F 98'8,zq00'0 F t0'6,,q0I'0FSZ'8,,,q000F+08
4,,zqLt'0 F 8S'S,,,,q60'0F4I'S,q0I'0F19'S,,,qLE'O F 98't,qLO'0 T EL't,,Z0'0 F LI`9,,q60069t,,10098'S,
5,,,,80009,,,,,,,00 69'9,,,,,,,
6,AHRR,,,,,qEO'O F ZE'8,pt0'0 FZZ'6,p90'0 F Z6'6,q00'0 F 8I'8,pZ0'0 F 00'OI,pZ0'0 F 00'OI,,eZ0'0 F Z9'L,,10+886,,,
7,,qI0'0FII'L,qeZt'0 F E6'9,qeZI`O F V0'L,,,,,,,,qr0I'0 F 9L'9,qeVO'0 T LL'9,,,800999,,100689
8,,t0'0F 86'9,,004,,,qEI'0 F 09'9,,,80089,,,eSI'0FIL'9,9009,990118,,qS0'0FE9'S,
9,,,p6I'O F SI'8,zqSI'0F 99 L,,,,90069,00008,,,,q90'0 F E6'9,,qSI'0F I9'L,00889,eL0'0F S6'9,
10,,,M2,,,,,,2,,,,,,,,5,
