,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Sample,Sample,,,,,,,,,,
1,Storage day,1,,2,,3,,4,,5,,6,
2,L*,,,,,,,,,,,,
3,,,45.44  0.36,44.34  0.55cYZ,44.34  0.55cYZ,,42.33  0.71,45.28  0.66bZ,45.28  0.66bZ,,44.03  0.32,,41.78  0.82X
4,1,,,,,,,,,,,,
5,,43.22  1.32YZ,43.22  1.32YZ,,38.24  0.31ax,41.97  0.79XYZ,41.97  0.79XYZ,44.18  0.gabz,44.18  0.gabz,40.98  4.30YZ,40.98  4.30YZ,39.88  2.06XY,39.88  2.06XY
6,10,,,,,,,,,,,,
7,,43.12  1.47YZ,43.12  1.47YZ,40.05  1.88abx,40.05  1.88abx,,40.61  1.62XY,43.93  0.4abZ,43.93  0.4abZ,,41.01  2.14XY,,39.64  1.00
8,20,,,,,,,,,,,,
9,,,42.69  1.36,,40.69  1.45b,,42.34  1.32,,42.82  1.08a,,41.39  1.71,,40.28  1.18
10,30,,,,,,,,,,,,
11,a*,,,,,,,,,,,,
12,,,0.16  0.0gXY,,0.14  0.02,,0.14  0.09,,0.33  0.11,,0.17  0.06XY,,0.18  0.14Y
13,,,0.16  0.04,,0.36  0.20,,0.16  0.13,,0.41  0.06,,0.27  0.17,,0.14  0.13
14,10,,,,,,,,,,,,
15,,,0.17  0.15,,0.23  0.20,,0.22  0.10,,0.29  0.18,,0.28  0.21,,0.21  0.10
16,20,,,,,,,,,,,,
17,,,0.14  0.21,,0.29  0.11,,0.25  0.18,,0.25  0.19,,0.24  0.15,,0.20  0.11
18,30,,,,,,,,,,,,
19,b*,,,,,,,,,,,,
20,,,9.43  0.49,,9.13  0.05,,8.44  0.33,,8.62  0.54,,8.54  0.27,,8.77  0.60
21,-,,,,,,,,,,,,
22,,,9.93  0.45,,8.86  1.36,,9.63  0.46,,8.73  0.77,,8.58  1.54,,8.78  0.30
23,10,,,,,,,,,,,,
24,,,8.93  0.71,,8.99  0.29,,9.68  0.57,,9.72  0.17,,9.22  0.31,,9.31  0.43
25,20,,,,,,,,,,,,
26,,,9.37  0.16,,8.72  0.55,,9.360.93,,9.21  0.82,,9.03  1.01,,9.69  0.31
27,30,,,,,,,,,,,,
