,0,1,2,3,4
0,,Storage days,,,
1,,1,7,14,21
2,L.bulgaricus,,,,
3,SF,0.00  0.00,0.00  0.00,0.00  0.00,0.00 0.00
4,SD,0.00  0.00,0.00  0.00,0.00  0.00,0.00  0.00
5,BF,9.22  0.17a,9.68  0.04bz,8.310.23c,8.64  0.12cZ
6,BD,8.97  0.02a,8.85  0.01bY,8.42  0.01c,8.51  0.03dYZ
7,BSF,9.21  0.13a,8.84  0.01bY,8.60  0.01c,8.41  0.01dY
8,BSD,8.81  0.27,8.60  0.15X,8.45  0.03,8.13 0.07X
9,S. thermophilus,,,,
10,SF,9.41  0.10x,9.18  0.03x,9.21  0.00,9.35  0.16
11,SD,8.00  0.07aY,8.96  0.03bY,9.18  0.03bXY,9.47  0.13cx
12,BF,0.00  0.00,0.00  0.00,0.00  0.00,0.00  0.00
13,BD,0.00  0.00,0.00  0.00,0.00  0.00,0.00  0.00
14,BSF,8.53  0.08aZ,9.08  0.05bcZ,9.14  0.01cZ,9.01  0.01bY
15,BSD,9.00  0.05aT,8.89  0.02bY,8.71  0.01cY,8.90  0.01bY
16,Enterococcus spp.,,,,
17,SF,7.66  0.08ax,8.09  0.01cx,7.880.03bx,7.92  0.01bx
18,SD,7.95  0.07aY,7.56  0.03abY,7.68  0.09bY,7.47  0.01cZ
19,BF,8.31  0.01aZ,9.61  0.02cZ,8.37  0.09aZ,8.73  0.05bT
20,BD,8.79  0.01aT,8.57  0.07bT,8.37  0.09cZ,8.28  0.03cw
21,BSF,8.010.01abY,8.09  0.01bX,8.47  0.03cZ,7.83 0.18aXY
22,BSD,7.66  0.09,7.69  0.01w,7.84  0.08XY,7.64  0.01YZ
