,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,,,1000,,1000,,,0712,002,,,1100,,,0130,,,,0000,,,,,,,1150,8860,
1,,,,,,,,,,,,000,,,,,,,,,,06019,,I0190,,,,,
2,,18880,,900,,,11111111,,,610060,,100,,,,,,,,,,,,,,,,,
3,,,,80'0FqZ9'v,,ZI'0 F y06'0,660,,,,CO0,100,,,,,900,,,,,69,,60,,00,,,
4,,,18,80'0FqZ9'v,,ZI'0 F y06'0,660,,,,CO0,100,,,,,11,,22.7,,,69,,60,,00,,,
5,,ARPT,18,80'0FqZ9'v,,ZI'0 F y06'0,1115,214,961,,,,,,,,11,,22.7,,,,,890,12,000,,,
6,,,,,,*1000,100,**8000,,110,**1000,**1000,**1000,**1000,**1000,**1000,**1000,**1000,0000,**1000,,**1000,00000,,,,*$000,,1100
7,,,,,,,8'0F86'01,80,100000,000000,800,I0'0F gZt'0,t0'v F v06'6I,,,6100,,,,6I'0Fv8L0,,60'I F v89'S,,EI'0F e6S'0,,800,860106,0E0F qvZ'06,
8,,,2,,,,8'0F86'01,2444,100000,000000,0174,I0'0F gZt'0,t0'v F v06'6I,,,,,,,6I'0Fv8L0,,60'I F v89'S,,EI'0F e6S'0,,025,860106,0E0F qvZ'06,
9,,,,,,,IO'IFq6L'II,,,0100060,+I'0FgI8'O,100,,,100,000,,0900,,112,,,8108,80,,010,,,
10,,,,,,,IO'IFq6L'II,,,0100060,+I'0FgI8'O,,,,,,,,,,,gZ8'8,,q88'0,05.2,,,,
11,,,,,,,*1000,,,**1000,,110,000,,6100,**1000,**1000,,1140,,,0004,610,100,,,**1000,*1000,1900
12,uof D.S8m,,2,,,,,,,,,,,,,,,,,,,,,910190,,,99IFvZ4L,S00gI9'06,
13,1ofS8,,,,,,SL'0F g08`II,,,S0'0+ vS9'0,,2001+0,90'v F q9L'SZ,,0E0'0FqIEZ'0,400g8040,,8LI'0Tq60LI,,,,,,0I'0 F qt8'0,10001,800,,I0vSS68,
14,1ofS8,,,,,,SL'0F g08`II,,,S0'0+ vS9'0,,2001+0,90'v F q9L'SZ,,0E0'0FqIEZ'0,400g8040,,8LI'0Tq60LI,,,,,717,0I'0 F qt8'0,10001,,,I0vSS68,
15,,,,,u,,,,,,,,,,,,,,,,N,,,,,,,*,
