,0,1,2,3,4,5,6,7,8
0,,Titratable acidity,,,,,,,Wheying
1,Probiotic yoghurt,TA%,pH,,Firmness (g),Consistency (g s),Cohesiveness (g),off (mL25 s),off (mL25 s)
2,YC,1.040.01b,4.44  0.02a,,435.05  19.78d,6866.58  160.95,91.37 1.93c,5.91 0.58a,5.91 0.58a
3,YB,1.010.01c,4.45 0.01,739.86 25.30c,739.86 25.30c,6902.09  223.43d,99.40  2.26b,5.91  0.28a,5.91  0.28a
4,YP,1.03  0.01b,4.43  0.01ab,,604.51  30.15c,6974.59  116.76,96.05  3.45b,5.55  0.26a,5.55  0.26a
5,YBP,1.00  0.01c,4.45  0.02a,,1155.64  29.56b,6983.3599.18,-103.082.74b,4.50  0.18b,4.50  0.18b
6,YG,1.06 0.01a,4.44  0.01a,,628.1610.28,7447.45  87.46b,-127.571.53b,5.850.31a,5.850.31a
7,YBG,1.060.01,4.41 0.02b,,1513.6626.11,8964.1574.36a,186.73 2.65a,5.630.20a,5.630.20a
8,Storage time (day),,,,,,,,
9,1,0.84  0.02d,4.65  0.03a,744.20  23.06b,744.20  23.06b,6869.12  79.52d,-131.937.94a,6.13 0.11a,6.13 0.11a
10,7,1.07 0.01c,4.52  0.01b,754.28  20.45b,754.28  20.45b,7159.7637.55,116.89 5.97a,5.170.23b,5.170.23b
11,14,1.10  0.01b,4.300.01c,821.98  32.67ab,821.98  32.67ab,7425.23  23.80b,-112.883.63a,5.770.31a,5.770.31a
12,21,1.12 0.01,4.28  0.01d,,1064.1329.32,7971.36  30.65a,107.782.80,5.17  0.28b,5.17  0.28b
13,ANOVA,,,,,,,,
14,Sample (S),**,**,**,**,**,**,**,
15,Storage time (D),**,**,**,,,ns,**,
16,SD,,**,*,,**,ns,**,
