table,Nom source,Language,pays,Auteurs,Date de publication,Description du contenu,Technique utilisee pour la collecte,Page start,Page end
KNSR1.pdf,International Journal of Dairy Technology 73(3),English,,"Wang L.,  Gao E.,  Hu M.,  He Q.,  He Y.,  Zheng X.",2020,Comparative analysis of the fermentation performance of high-quality milk beer strains (Kluyveromyces marxianus) and optimisation of medium formula for high-density fermentation,automatic with collab,552,562
KNSR2.pdf,International Journal of Dairy Technology 73(3),English,,"Ghandehari Yazdi A.P.,  Barzegar M.,  Ahmadi Gavlighi H.,  Sahari M.A.,  Mohammadian A.H.",2020,Physicochemical properties and organoleptic aspects of ice cream enriched with microencapsulated pistachio peel extract,automatic with collab,570,577
KNSR3.pdf,International Journal of Dairy Technology 74(4),English,,"Yeluri Jonnala B.R.,  McSweeney P.L.H.,  Cotter P.D.,  Sheehan J.J.",2021,Recreating pink defect in cheese with different strains of Thermus bacteria,automatic with collab,700,708
KNSR4.pdf,International Journal of Dairy Technology 73(4),English,,"Pereira J.P.F.,  Melquiades L.L.,  Stephani R.,  de Oliveira L.F.C.,  Perrone I.T.,  de Carvalho A.F.",2020,Effect of sodium citrate on lactose crystallization in concentrated whey,automatic with collab,757,764
KNSR5.pdf,International Journal of Dairy Technology 73(4),English,,"Lee C.S.,  Lee S.H.,  Kim S.H.",2020,Bone-protective effects of Lactobacillus plantarum B719-fermented milk product,automatic with collab,706,717
KNSR6.pdf,International Journal of Dairy Technology 73(4),English,,"Nogueira M.H.,  Tavares G.M.,  Casanova F.,  Silva C.R.J.,  Rocha J.C.G.,  Stringheta P.C.,  Stephani R.,  Perrone I.T.,  de Carvalho A.F.",2020,Cross-linked casein micelle used as encapsulating agent for jaboticaba (Plinia jaboticaba) phenolic compounds by spray drying,automatic with collab,765,770
KNSR7.pdf,International Journal of Dairy Technology 73(4),English,,"Nastaj M.,  Solowiej B.G.",2020,The effect of various pH values on foaming properties of whey protein preparations,automatic with collab,683,694
KNSR8.pdf,International Journal of Dairy Technology 73(4),English,,"Taghizadeh Moghaddam S.,  Javadi A.,  Matin A.A.",2020,Reduction of bisphenol A by Lactobacillus acidophilus and Lactobacillus plantarum in yoghurt,automatic with collab,737,742
KNSR9.pdf,International Journal of Dairy Technology 73(4),English,,"Eor J.Y.,  Tan P.L.,  Son Y.J.,  Lee C.S.,  Kim S.H.",2020,Milk products fermented by Lactobacillus strains modulate the gut–bone axis in an ovariectomised murine model,automatic with collab,743,756
KNSR10.pdf,International Journal of Dairy Technology 73(4),English,,"Elgar D.F.,  Hill J.P.,  Holroyd S.E.,  Peddie G.S.",2020,Comparison of analytical methods for measuring protein content of whey protein products and investigation of influences on nitrogen conversion factors,automatic with collab,790,794
